"","x"
"284","McAdams et al. 2019"
"285","Marshall et al. 2012"
"286","Biebesheimer et al. 2021"
"287","Hartke et al. 2021"
"288","McAdams et al. 2017"
"289","Braun 2018"
"290","Ainsaar et al. 2004"
"291","Shields, G.A., Carden, G.A., Veizer, J., Meidla, T., Rong, J.-Y., and Li, R.-Y. 2003"
"292","Middleton, P. D., Marshall, J. D. and Brenchley, P. J. 1991"
"293","Young et al. 2010"
"294","Kaljo et al. 2007"
"295","Wadleigh, M. A., and Veizer, J. 1992"
"296","Barney, B.B., and Grossman, E.L. 2022"
"297","Bergmann, K.D., Finnegan, S., Creel, R., Eiler, J.M., Hughes, N.C., Popov, L.E., and Fischer, W.W. 2018"
"298","Bergstrom et al. 2010"
"299","Bauert et al. 2014"
"300","Wu et al. 2017"
"301","Thompson and Kah 2012"
"302","Buggisch et al. 2003"
"303","Edwards & Saltzman 2014"
"304","Miller et al. 2015"
"305","Peng et al. 2012"
"306","Saltzman et al. 2011"
"307","Zhu et al. 2004"
"308","Chang et al. 2017"
"309","Maloof et al. 2005, 2010"
