"run.profile","parameter","median","lower","upper","Rhat","ESS"
"plate_merdith2021","d13CO2_level",-7.52322723225078,-8.25234741087963,-6.59674692698849,1.30889121958971,62.327616754549
"plate_merdith2021","bf.nsb_mean",0.38602019705779,-0.0583134168826203,0.82876128456021,0.999980325097956,24000
"plate_merdith2021","pf.nsb_mean",-0.523455687893824,-0.834104863854485,-0.212945663352254,1.00020112276057,19762.5288995457
"plate_merdith2021","brach.nsb_mean",0.181938271400895,-0.12530930302341,0.494086100781571,1.00016028673656,19776.3741698404
"plate_merdith2021","bivalve.nsb_mean",-0.71014697008727,-1.01793527722682,-0.395921360032551,1.00016573960813,19866.8238526092
"plate_merdith2021","amm.nsb_mean",1.6794429046627,1.36281051636973,1.99968336590676,1.00016355933966,20654.8035926051
"plate_merdith2021","bel.nsb_mean",1.72528330275841,1.41709390701573,2.03886108100824,1.00021100584149,19628.0230089346
"plate_merdith2021","micrite.nsb_mean",-0.319001360277919,-0.670423938283384,0.0386066049228233,1.00000994933274,16016.3611212385
"plate_merdith2021","bulk.nsb_mean",0.481568569329289,0.173675481496135,0.793537452490819,1.00015488844402,19691.5159422179
"plate_merdith2021","bulk_sr.nsb_mean",1.43807770273349,1.01640984259379,1.87320085225109,1.00019872042116,17605.7780184148
"plate_merdith2021","bulk_marg.nsb_mean",0.816450214020996,0.507930656287771,1.13036791263204,1.00016690329519,19795.014832866
"plate_merdith2021","bf.nsb_tau",991203.401556524,927117.543490103,1068858.75640115,1.12339567142196,124.691314382412
"plate_merdith2021","pf.nsb_tau",991008.888278904,934806.184345241,1048457.67174366,1.06762048615363,138.217903474032
"plate_merdith2021","brach.nsb_tau",991580.40556638,937607.111910811,1051124.58413558,1.02596967653166,252.151604775208
"plate_merdith2021","bivalve.nsb_tau",999017.452240411,945556.601316637,1057587.21138375,1.04556628632903,132.439890597627
"plate_merdith2021","amm.nsb_tau",996467.557841188,935915.1107599,1057418.61370123,1.04847738254455,227.775252237486
"plate_merdith2021","bel.nsb_tau",997549.795111381,941335.376296985,1061403.3780739,1.03922258710924,141.426633340578
"plate_merdith2021","micrite.nsb_tau",1001617.65649413,933277.644265884,1069629.54976468,1.02220822930134,124.351836040532
"plate_merdith2021","bulk.nsb_tau",1004498.45984162,942325.056994394,1064519.78272498,1.06529140475241,96.2616641018845
"plate_merdith2021","bulk_sr.nsb_tau",1004573.47778074,948171.085621358,1073056.62609082,1.18524711686367,77.2375040927001
"plate_merdith2021","bulk_marg.nsb_tau",999113.154738852,940153.431360455,1066265.63016291,1.02319017791404,285.214889246958
