"","age","d13C","source","assigned location","assigned lat","assigned lon","category"
"27110"," 93.604954"," 3.60700000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27111"," 93.608660"," 3.67500000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27112"," 93.612364"," 3.72800000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27113"," 93.615651"," 3.64200000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27114"," 93.619347"," 3.66900000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27115"," 93.623039"," 3.72300000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27116"," 93.626726"," 3.78100000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27117"," 93.630000"," 4.00100000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27118"," 93.635380"," 3.85800000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27119"," 93.640754"," 3.81400000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27120"," 93.646121"," 3.80400000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27121"," 93.650888"," 3.86500000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27122"," 93.656244"," 3.77300000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27123"," 93.661594"," 3.97400000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27124"," 93.666940"," 3.99800000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27125"," 93.672278"," 4.10500000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27126"," 93.677019"," 4.21200000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27127"," 93.682347"," 4.06600000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27128"," 93.687669"," 4.16400000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27129"," 93.692985"," 4.11800000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27130"," 93.697704"," 4.32400000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27131"," 93.703009"," 4.43400000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27132"," 93.708307"," 4.45800000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27133"," 93.713601"," 4.46900000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27134"," 93.718300"," 4.37400000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27135"," 93.723581"," 4.42700000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27136"," 93.728856"," 4.40200000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27137"," 93.734125"," 4.35200000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27138"," 93.738804"," 4.30700000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27139"," 93.744061"," 4.33300000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27140"," 93.749313"," 4.40800000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27141"," 93.754558"," 4.36600000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27142"," 93.759214"," 4.39200000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27143"," 93.764449"," 4.40100000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27144"," 93.769675"," 4.33900000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27145"," 93.774897"," 4.45200000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27146"," 93.779534"," 4.50600000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27147"," 93.784743"," 4.65700000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27148"," 93.789947"," 4.55000000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27149"," 93.795143"," 4.72700000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27150"," 93.799758"," 4.87700000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
